Day,Test MSE
1,0.001597998314537108
2,0.0016274831723421812
3,0.0001982529938686639
4,0.00018924017786048353
5,0.0034490134567022324
6,0.0007953023305162787
7,0.0009720872039906681
8,0.0001271106011699885
9,0.0016607526922598481
10,0.0015921046724542975
11,0.001908518373966217
12,0.0001134603880927898
13,0.00029545556753873825
14,0.00012566229270305485
15,0.001296756905503571
16,0.0008254464482888579
17,0.0007816258585080504
18,0.0031491846311837435
19,0.0010783859761431813
20,0.004224299918860197
21,0.00046269892482087016
22,0.0014508648309856653
23,0.0020766560919582844
24,0.002232090337201953
25,0.0022751318756490946
26,0.0007171346223913133
27,0.00040681270183995366
28,0.0011014083866029978
29,0.011816391721367836
30,0.001057910150848329
31,0.0007329284562729299
32,0.0010989055735990405
33,0.0016002347692847252
34,0.0005524625885300338
35,0.00019122331286780536
36,0.0007877388270571828
37,0.0015829931944608688
38,0.0006813854561187327
39,0.0002891881740652025
40,0.001661470509134233
41,0.0004064993991050869
42,0.006773016415536404
43,0.0017294532153755426
44,0.000733975030016154
45,0.000751080340705812
46,0.0011521363630890846
47,0.0004174649657215923
48,0.000753682863432914
49,0.0002696470473892987
50,0.0003638826892711222
